# Common English Contractions
# Format: contraction:expansion
isn't:is not
don't:do not
can't:cannot
won't:will not
i'm:i am
it's:it is
you're:you are
he's:he is
she's:she is
we're:we are
they're:they are
i've:i have
you've:you have
we've:we have
they've:they have
i'll:i will
you'll:you will
we'll:we will
they'll:they will
couldn't:could not
shouldn't:should not
wouldn't:would not
hasn't:has not
haven't:have not
